Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added 
Repel the Darkness,J25,Foundations Jumpstart,242,normal,common,1,100217,1cb2fef2-e013-4eb8-a10e-ec3f88cd73ee,0.18,false,false,near_mint,en,AUD,2026-09-05T12:00:19.995Z
Gird for Battle,J25,Foundations Jumpstart,202,normal,uncommon,1,101305,eb2a0cdf-2383-469a-bd5e-56393c4ccfcc,0.37,false,false,near_mint,en,AUD,2026-09-05T12:00:19.996Z
Fencing Ace,J25,Foundations Jumpstart,199,normal,uncommon,1,100223,1ddc3ccf-797d-45b2-a791-83d22481920c,0.33,false,false,near_mint,en,AUD,2026-09-05T12:00:19.997Z
Favored Hoplite,J25,Foundations Jumpstart,196,normal,uncommon,1,100201,19a43ca9-50ce-41b7-b8ef-8a5810edf254,0.33,false,false,near_mint,en,AUD,2026-09-05T12:00:19.998Z
Elite Skirmisher,J25,Foundations Jumpstart,193,normal,common,1,100134,0a00bcd0-410f-4d4f-a283-66d97b2e74c2,0.21,false,false,near_mint,en,AUD,2026-09-05T12:00:19.999Z
Defiant Strike,J25,Foundations Jumpstart,187,normal,common,1,100843,9473c9bc-458e-4879-8abb-9b43be85e4be,0.47,false,false,near_mint,en,AUD,2026-09-05T12:00:20.000Z
Kiln Fiend,J25,Foundations Jumpstart,139,normal,common,1,100303,2c0b93d1-8f74-4a69-b42c-be7d08a31f8a,0.4,false,false,near_mint,en,AUD,2026-09-05T12:00:20.001Z
Howling Banshee,J25,Foundations Jumpstart,119,normal,uncommon,1,100864,98bc4a4e-8fca-45a3-a542-38936f841532,0.3,false,false,near_mint,en,AUD,2026-09-05T12:00:20.002Z
Eternal Taskmaster,J25,Foundations Jumpstart,117,normal,uncommon,1,100538,58afc628-2d79-4155-bb27-373fc4c50ba1,0.36,false,false,near_mint,en,AUD,2026-09-05T12:00:20.003Z
Eaten Alive,J25,Foundations Jumpstart,116,normal,common,1,101201,d84f2c48-dc93-4100-9e6d-cd966a382d6f,0.28,false,false,near_mint,en,AUD,2026-09-05T12:00:20.004Z
Dark Bargain,J25,Foundations Jumpstart,113,normal,common,1,100673,728e4031-30e0-4b9e-8255-5fd2e7989007,0.3,false,false,near_mint,en,AUD,2026-09-05T12:00:20.005Z
Bonecaller Cleric,J25,Foundations Jumpstart,112,normal,uncommon,1,101218,db07c4d0-cc16-49fb-93b8-af3fe8e6670f,0.33,false,false,near_mint,en,AUD,2026-09-05T12:00:20.006Z
"Cleon, Merry Champion",J25,Foundations Jumpstart,47,normal,uncommon,1,101279,e793fae6-ca9a-49e7-b90d-fe7e9c72de0d,0.39,false,false,near_mint,en,AUD,2026-09-05T12:00:20.007Z
"Brigone, Soldier of Meletis",J25,Foundations Jumpstart,30,normal,rare,1,100243,20ecadef-8aa3-4bca-8744-adbc809083c3,2.12,false,false,near_mint,en,AUD,2026-09-05T12:00:20.008Z
Scholar of Combustion,J25,Foundations Jumpstart,19,normal,common,1,100261,23660e44-8546-438d-a2c4-e1cef6e50855,0.39,false,false,near_mint,en,AUD,2026-09-05T12:00:20.009Z
Hearts on Fire,J25,Foundations Jumpstart,17,normal,common,1,101001,b10fcb27-1486-4cf1-8fde-eea6f799ab8b,0.28,false,false,near_mint,en,AUD,2026-09-05T12:00:20.010Z
Scourge of the Undercity,J25,Foundations Jumpstart,11,normal,common,1,100478,4d321cb1-9079-4aa3-b86e-6483552f04ee,0.33,false,false,near_mint,en,AUD,2026-09-05T12:00:20.011Z
Delightful Discovery,J25,Foundations Jumpstart,6,normal,uncommon,1,101234,dee342ec-f546-41b7-add5-0a85f5c8bc57,0.37,false,false,near_mint,en,AUD,2026-09-05T12:00:20.014Z
Faithful Pikemaster,J25,Foundations Jumpstart,3,normal,common,1,101231,de149bae-dd71-4a27-a975-4d0fbc646ee4,0.18,false,false,near_mint,en,AUD,2026-09-05T12:00:20.015Z
Thriving Moor,J25,Foundations Jumpstart,779,normal,common,5,100452,48760243-5614-46cd-b487-2ec09638921a,0.39,false,false,near_mint,en,AUD,2026-09-05T12:00:19.936Z
Wind Strider,J25,Foundations Jumpstart,389,normal,common,2,101237,df99ff00-b573-40ef-a885-028ee56e19d6,0.17,false,false,near_mint,en,AUD,2026-09-05T12:00:19.975Z
Undersea Invader,J25,Foundations Jumpstart,380,normal,common,2,101099,c3314e64-e0ba-4720-817c-a6f7b317af14,0.15,false,false,near_mint,en,AUD,2026-09-05T12:00:19.977Z
Stinging Lionfish,J25,Foundations Jumpstart,367,normal,uncommon,2,101142,cd8f628e-d49e-4ea8-824b-9b79282e04a8,0.42,false,false,near_mint,en,AUD,2026-09-05T12:00:19.979Z
Spectral Sailor,J25,Foundations Jumpstart,363,normal,uncommon,2,100763,840ec72e-9c20-4316-835e-1af26d05d9dd,0.42,false,false,near_mint,en,AUD,2026-09-05T12:00:19.981Z
Slimebind,J25,Foundations Jumpstart,360,normal,common,2,100244,20f2b109-0d13-41a2-ba76-d75e417b39e8,0.21,false,false,near_mint,en,AUD,2026-09-05T12:00:19.983Z
Crystacean,J25,Foundations Jumpstart,303,normal,common,2,100990,ae28d812-aa1e-4580-afdc-2359c31fece0,0.42,false,false,near_mint,en,AUD,2026-09-05T12:00:19.985Z
Chrome Prowler,J25,Foundations Jumpstart,299,normal,common,2,100246,21121857-85b8-4ba8-9363-beafdb1005c2,0.24,false,false,near_mint,en,AUD,2026-09-05T12:00:19.987Z
Capture Sphere,J25,Foundations Jumpstart,294,normal,common,2,100954,a94768c1-36cf-4a05-a425-6e7088b655f3,0.21,false,false,near_mint,en,AUD,2026-09-05T12:00:19.989Z
Brineborn Cutthroat,J25,Foundations Jumpstart,291,normal,uncommon,2,100776,85c60e4e-4b9d-4700-909f-fcc6342819b7,0.28,false,false,near_mint,en,AUD,2026-09-05T12:00:19.991Z
Revoke Demise,J25,Foundations Jumpstart,10,normal,common,2,100524,5503c9aa-faac-427b-9e6e-5272d1b407a7,0.25,false,false,near_mint,en,AUD,2026-09-05T12:00:20.012Z
Mongoose Lizard,TLA,Avatar: The Last Airbender,148,foil,common,2,108232,7d40b9cb-82ef-44c5-8d3c-c8bb4ce9891c,0.19,false,false,near_mint,en,AUD,2026-09-05T12:09:17.850Z
Misty Palms Oasis,TLA,Avatar: The Last Airbender,273,foil,common,1,109473,7cc29ddb-8f44-4493-985d-2fac35f9f34d,0.3,false,false,near_mint,en,AUD,2026-09-05T12:09:17.851Z
Messenger Hawk,TLA,Avatar: The Last Airbender,234,foil,common,1,109713,6a2946c0-0a40-4cdb-92c8-af2bafecca09,0.24,false,false,near_mint,en,AUD,2026-09-05T12:09:17.852Z
Meteor Sword,TLA,Avatar: The Last Airbender,258,foil,uncommon,1,109712,68b1c746-a4b8-4a45-9f0e-3962f0ae40e3,0.94,false,false,near_mint,en,AUD,2026-09-05T12:09:17.853Z
Master Piandao,TLA,Avatar: The Last Airbender,28,foil,uncommon,1,108191,3e4a042c-f2a6-45e7-9444-acd1ca838b87,0.39,false,false,near_mint,en,AUD,2026-09-05T12:09:17.854Z
Lightning Strike,TLA,Avatar: The Last Airbender,146,foil,common,1,108213,5787b0e0-9469-4a6d-8b81-c992628e28c0,0.39,false,false,near_mint,en,AUD,2026-09-05T12:09:17.857Z
Kyoshi Battle Fan,TLA,Avatar: The Last Airbender,257,foil,common,1,109659,257e6862-96fe-4312-aff2-509d0696843a,0.29,false,false,near_mint,en,AUD,2026-09-05T12:09:17.862Z
"Joo Dee, One of Many",TLA,Avatar: The Last Airbender,105,foil,uncommon,1,109730,7ae1439f-a0c4-42c2-a4f3-8851defa981e,0.43,false,false,near_mint,en,AUD,2026-09-05T12:09:17.865Z
Jasmine Dragon Tea Shop,TLA,Avatar: The Last Airbender,270,foil,rare,1,109810,da2c83d4-a95f-47ff-a08f-694eb78d6b9b,1.03,false,false,near_mint,en,AUD,2026-09-05T12:09:17.868Z
Jasmine Dragon Tea Shop,TLA,Avatar: The Last Airbender,390,foil,rare,1,109692,4487d299-1571-4d44-81bb-9bf54fb33fbc,2.27,false,false,near_mint,en,AUD,2026-09-05T12:09:17.869Z
"Iroh, Grand Lotus",TLA,Avatar: The Last Airbender,227,foil,rare,1,109482,879b73d3-4552-4fdc-baee-c4d097ae9a4f,0.72,false,false,near_mint,en,AUD,2026-09-05T12:09:17.870Z
Iroh's Demonstration,TLA,Avatar: The Last Airbender,141,foil,uncommon,1,109643,18d15fed-1f8f-4407-a221-a47ce75001a8,0.55,false,false,near_mint,en,AUD,2026-09-05T12:09:17.871Z
Iguana Parrot,TLA,Avatar: The Last Airbender,56,foil,common,1,108235,7faa3e3d-c08a-4908-85ef-1370d3f90815,0.36,false,false,near_mint,en,AUD,2026-09-05T12:09:17.872Z
How to Start a Riot,TLA,Avatar: The Last Airbender,140,foil,common,1,108174,23b3bf1e-ea85-47f5-8473-4d16615f68d7,0.32,false,false,near_mint,en,AUD,2026-09-05T12:09:17.873Z
Hook Swords,TLE,Avatar: The Last Airbender Eternal,147,foil,uncommon,1,109741,89e175a5-662c-4a27-88b2-d608f7f06ae6,0.47,false,false,near_mint,en,AUD,2026-09-05T12:09:17.874Z
Hog-Monkey Rampage,TLE,Avatar: The Last Airbender Eternal,255,foil,uncommon,1,108249,97c41057-cf06-4f78-8c68-870fb763cfa6,0.47,false,false,near_mint,en,AUD,2026-09-05T12:09:17.877Z
Hippo-Cows,TLE,Avatar: The Last Airbender Eternal,252,foil,common,1,108176,24ca6ca8-e239-4fe5-8711-24098b74e2fe,0.36,false,false,near_mint,en,AUD,2026-09-05T12:09:17.878Z
Hermitic Herbalist,TLA,Avatar: The Last Airbender,226,foil,uncommon,1,109707,5d0ee441-a057-41b5-abb8-dc86864ac248,0.4,false,false,near_mint,en,AUD,2026-09-05T12:09:17.879Z
Gran-Gran,TLA,Avatar: The Last Airbender,54,foil,uncommon,1,109586,fa434b41-e5f7-4989-865a-95db67b05cb1,0.48,false,false,near_mint,en,AUD,2026-09-05T12:09:17.880Z
Giant Fly,TLE,Avatar: The Last Airbender Eternal,107,foil,common,1,109711,686e3587-6f0a-4648-99e0-3dae9cdda3de,0.33,false,false,near_mint,en,AUD,2026-09-05T12:09:17.891Z
Foggy Swamp Hunters,TLA,Avatar: The Last Airbender,101,foil,common,1,109689,3f6e5869-ca25-4b98-a844-8a498cb40aab,0.24,false,false,near_mint,en,AUD,2026-09-05T12:09:17.896Z
Flexible Waterbender,TLA,Avatar: The Last Airbender,50,foil,common,1,108163,1447ebce-7e48-4b21-a39c-740920538bdd,0.26,false,false,near_mint,en,AUD,2026-09-05T12:09:17.902Z
Firebender Ascension,TLA,Avatar: The Last Airbender,137,foil,rare,1,109405,2929b702-03c6-4cf0-a3f7-61b27f4803be,1.51,false,false,near_mint,en,AUD,2026-09-05T12:09:17.903Z
Fire Nation Soldier,TLE,Avatar: The Last Airbender Eternal,238,foil,common,1,108214,58e59eba-3cf5-4ebe-8bc1-28568921650b,0.39,false,false,near_mint,en,AUD,2026-09-05T12:09:17.904Z
Fire Nation Archers,TLE,Avatar: The Last Airbender Eternal,237,foil,rare,1,108295,e83ee667-7726-42e9-9483-6cfc6f9ce638,1.12,false,false,near_mint,en,AUD,2026-09-05T12:09:17.907Z
Fire Nation Attacks,TLA,Avatar: The Last Airbender,299,foil,uncommon,1,109577,ed94f384-ebd2-4c30-a9bb-9cf793d9a810,0.48,false,false,near_mint,en,AUD,2026-09-05T12:09:17.910Z
Fire Lord Zuko,TLA,Avatar: The Last Airbender,221,foil,rare,1,108140,e62d3bcc-7bb4-42be-90a9-caf3c1caa29d,0.72,false,false,near_mint,en,AUD,2026-09-05T12:09:17.911Z
Explosive Shot,TLE,Avatar: The Last Airbender Eternal,236,foil,common,1,108204,4ba682a6-1045-4ed6-ae95-bd5af8bd7224,0.43,false,false,near_mint,en,AUD,2026-09-05T12:09:17.912Z
Enter the Avatar State,TLA,Avatar: The Last Airbender,18,foil,uncommon,1,109766,a8f3d2cb-d073-4df8-8769-49612628a377,0.54,false,false,near_mint,en,AUD,2026-09-05T12:09:17.913Z
Elephant-Rat,TLE,Avatar: The Last Airbender Eternal,228,foil,common,1,108150,0568f28f-e830-4a7a-91d3-43e78bb86c8f,0.44,false,false,near_mint,en,AUD,2026-09-05T12:09:17.914Z
Ember Island Production,TLA,Avatar: The Last Airbender,48,foil,uncommon,1,109379,0f79a7fc-36b1-4397-8e67-6638379d3a38,0.44,false,false,near_mint,en,AUD,2026-09-05T12:09:17.915Z
Elemental Teachings,TLA,Avatar: The Last Airbender,178,foil,rare,1,109539,cac8ac35-6860-4839-ab85-93d409206c08,0.64,false,false,near_mint,en,AUD,2026-09-05T12:09:17.916Z
Earthbending Lesson,TLA,Avatar: The Last Airbender,176,foil,common,1,108142,eccd63b3-3a3a-4661-9d6e-fb8152429bdb,0.33,false,false,near_mint,en,AUD,2026-09-05T12:09:17.917Z
Earth Village Ruffians,TLA,Avatar: The Last Airbender,219,foil,common,1,108212,56d4e0b7-232f-4953-84a3-e6f17781aa45,0.18,false,false,near_mint,en,AUD,2026-09-05T12:09:17.918Z
Earthbender Ascension,TLA,Avatar: The Last Airbender,175,foil,rare,1,109704,590a58ab-5e98-4031-8aa6-ce396dc1429f,4.47,false,false,near_mint,en,AUD,2026-09-05T12:09:17.919Z
Earth Rumble Wrestlers,TLA,Avatar: The Last Airbender,218,foil,common,1,109466,74fca0b8-12e1-405f-b999-160d65fe0ade,0.24,false,false,near_mint,en,AUD,2026-09-05T12:09:17.920Z
Earth Kingdom Soldier,TLA,Avatar: The Last Airbender,216,foil,common,1,108180,2d543d35-945a-4ffa-beb7-7c5d4f894f79,0.22,false,false,near_mint,en,AUD,2026-09-05T12:09:17.921Z
Earth Kingdom Jailer,TLA,Avatar: The Last Airbender,16,foil,uncommon,1,109746,9207362c-3605-4794-803f-ad1d0175fcca,0.36,false,false,near_mint,en,AUD,2026-09-05T12:09:17.922Z
Dai Li Indoctrination,TLA,Avatar: The Last Airbender,93,foil,common,1,108299,eca652b8-44f1-4bd9-b4bf-036eeead13aa,0.32,false,false,near_mint,en,AUD,2026-09-05T12:09:17.931Z
Dai Li Agents,TLA,Avatar: The Last Airbender,306,foil,uncommon,1,109476,82822ac1-9288-4bac-8afd-83563e693731,0.54,false,false,near_mint,en,AUD,2026-09-05T12:09:17.936Z
Cat-Owl,TLA,Avatar: The Last Airbender,212,foil,common,1,108285,d7df3391-dbe5-4eb4-85c1-037c5f3ea971,0.35,false,false,near_mint,en,AUD,2026-09-05T12:09:17.944Z
Canyon Crawler,TLA,Avatar: The Last Airbender,90,foil,common,1,109668,30a30bfb-f0f3-425b-b37d-20079ee27046,0.36,false,false,near_mint,en,AUD,2026-09-05T12:09:17.945Z
"Lo and Li, Twin Tutors",TLA,Avatar: The Last Airbender,108,foil,uncommon,2,109794,cba9260d-ef07-4429-99f9-6004cc1fea0f,0.37,false,false,near_mint,en,AUD,2026-09-05T12:09:17.855Z
Kyoshi Warriors,TLA,Avatar: The Last Airbender,26,foil,common,2,109651,211045e1-85c7-4088-b830-a2afa0fe520b,0.36,false,false,near_mint,en,AUD,2026-09-05T12:09:17.858Z
Kyoshi Warrior Guard,TLE,Avatar: The Last Airbender Eternal,216,foil,common,2,108231,7a2acb28-c0e2-492b-a227-ef49e905e0fb,0.28,false,false,near_mint,en,AUD,2026-09-05T12:09:17.860Z
Koala-Sheep,TLE,Avatar: The Last Airbender Eternal,80,foil,common,2,109726,7785ddfe-f8ae-473a-8064-549884c5aabc,0.44,false,false,near_mint,en,AUD,2026-09-05T12:09:17.863Z
Jeong Jeong's Deserters,TLA,Avatar: The Last Airbender,25,foil,common,2,108152,060966f9-5e56-4512-9ef3-2b216daf093c,0.3,false,false,near_mint,en,AUD,2026-09-05T12:09:17.866Z
Hog-Monkey,TLA,Avatar: The Last Airbender,104,foil,common,2,108206,4f442970-5355-4abf-8684-17daaa8e469b,0.26,false,false,near_mint,en,AUD,2026-09-05T12:09:17.875Z
Glider Kids,TLA,Avatar: The Last Airbender,21,foil,common,2,108154,0613afb5-4cee-4132-8adf-404767ed8d07,0.18,false,false,near_mint,en,AUD,2026-09-05T12:09:17.881Z
Giant Koi,TLA,Avatar: The Last Airbender,53,foil,common,2,108186,3938ec1f-979c-48e5-bb13-bebace006a8f,0.32,false,false,near_mint,en,AUD,2026-09-05T12:09:17.883Z
Gilacorn,TLE,Avatar: The Last Airbender Eternal,231,foil,common,2,108270,b7f90eef-2393-4e44-9895-00489d3eaa92,0.44,false,false,near_mint,en,AUD,2026-09-05T12:09:17.885Z
Geyser Leaper,TLA,Avatar: The Last Airbender,52,foil,common,4,108205,4d25428d-e5a5-43c4-8544-43120ed1c4d5,0.28,false,false,near_mint,en,AUD,2026-09-05T12:09:17.887Z
Forecasting Fortune Teller,TLA,Avatar: The Last Airbender,51,foil,common,2,109366,023e7ad4-6af0-4f29-a716-27a313974227,0.28,false,false,near_mint,en,AUD,2026-09-05T12:09:17.892Z
Foggy Swamp Vinebender,TLA,Avatar: The Last Airbender,180,foil,common,2,109727,78a75317-94f7-47a4-b4da-5a027fa73248,0.3,false,false,near_mint,en,AUD,2026-09-05T12:09:17.894Z
Foggy Bottom Swamp,TLA,Avatar: The Last Airbender,269,foil,common,3,109396,226af626-873d-4bd2-b889-000f8316786f,0.35,false,false,near_mint,en,AUD,2026-09-05T12:09:17.897Z
Flying Dolphin-Fish,TLE,Avatar: The Last Airbender Eternal,223,foil,common,2,108278,ccb61a51-cff6-4f88-ac17-f10852a27d06,0.46,false,false,near_mint,en,AUD,2026-09-05T12:09:17.900Z
Fire Nation Ambushers,TLE,Avatar: The Last Airbender Eternal,229,foil,common,2,108254,a20aaa6c-7032-43c1-9e7c-57cf8c8ecfd4,0.32,false,false,near_mint,en,AUD,2026-09-05T12:09:17.905Z
Fire Nation Attacks,TLA,Avatar: The Last Airbender,133,foil,uncommon,2,108131,9cc10845-8989-46ca-a57a-fd728fca0729,0.4,false,false,near_mint,en,AUD,2026-09-05T12:09:17.908Z
Dragon Moose,TLE,Avatar: The Last Airbender Eternal,235,foil,common,2,108313,fd61f469-5377-4bc1-a42b-dd66ca4ede1d,0.36,false,false,near_mint,en,AUD,2026-09-05T12:09:17.923Z
Deserter's Disciple,TLA,Avatar: The Last Airbender,131,foil,common,2,108164,14f2ed5a-042b-4cce-82ad-cfb4bd511d98,0.24,false,false,near_mint,en,AUD,2026-09-05T12:09:17.925Z
Deadly Precision,TLA,Avatar: The Last Airbender,95,foil,common,4,109422,4661daf6-d960-4278-8946-70948efaf99d,0.32,false,false,near_mint,en,AUD,2026-09-05T12:09:17.927Z
Dai Li Agents,TLA,Avatar: The Last Airbender,214,foil,uncommon,3,109502,9ddb8715-341b-400a-b6eb-f3f90518157c,0.35,false,false,near_mint,en,AUD,2026-09-05T12:09:17.932Z
Dai Li Censor,TLE,Avatar: The Last Airbender Eternal,102,foil,common,2,109685,3e1b9878-62b4-45eb-943e-0230a6e78764,0.3,false,false,near_mint,en,AUD,2026-09-05T12:09:17.934Z
Curious Farm Animals,TLA,Avatar: The Last Airbender,14,foil,common,3,109654,2402d759-84b6-41d2-ad78-9333974e9222,0.44,false,false,near_mint,en,AUD,2026-09-05T12:09:17.937Z
Crashing Wave,TLA,Avatar: The Last Airbender,47,foil,uncommon,2,109754,9fd02eb4-1ef5-4a14-89a8-b25e720e8016,0.36,false,false,near_mint,en,AUD,2026-09-05T12:09:17.940Z
Compassionate Healer,TLA,Avatar: The Last Airbender,13,foil,common,2,109483,88d5f8fd-d4de-4e64-9b74-e53719ffbcdc,0.37,false,false,near_mint,en,AUD,2026-09-05T12:09:17.942Z
Capital Guard,TLE,Avatar: The Last Airbender Eternal,234,foil,common,4,108245,91cbed11-3b5c-4e7a-9b13-125c1fe5f22f,0.36,false,false,near_mint,en,AUD,2026-09-05T12:09:17.946Z
Buzzard-Wasp Colony,TLA,Avatar: The Last Airbender,88,foil,uncommon,2,108195,42d83229-0555-4361-8964-4b525c825843,0.35,false,false,near_mint,en,AUD,2026-09-05T12:09:17.950Z
Bumi Bash,TLA,Avatar: The Last Airbender,125,foil,common,2,109571,e8895479-26cb-4ee8-98ca-6d46c43f0dbd,0.35,false,false,near_mint,en,AUD,2026-09-05T12:09:17.952Z
Boiling Rock Prison,TLA,Avatar: The Last Airbender,267,foil,common,2,109390,1c2e2220-54d1-4180-93a0-964e3b0ba8b8,0.4,false,false,near_mint,en,AUD,2026-09-05T12:09:17.954Z
Boar-q-pine,TLA,Avatar: The Last Airbender,124,foil,common,2,109629,087a445c-5f63-45d6-83e8-20d22650db20,0.33,false,false,near_mint,en,AUD,2026-09-05T12:09:17.956Z
Rough Rhino Cavalry,TLA,Avatar: The Last Airbender,152,foil,common,2,108259,a8bc29cf-f6f8-4bb8-b722-f016b58b6d2d,0.26,false,false,near_mint,en,AUD,2026-09-05T12:13:13.032Z
Serpent of the Pass,TLA,Avatar: The Last Airbender,70,foil,uncommon,1,108237,87595843-15bc-48bb-8a81-3e6ad924ed44,0.36,false,false,near_mint,en,AUD,2026-09-05T12:13:13.033Z
"Sokka, Lateral Strategist",TLA,Avatar: The Last Airbender,241,foil,uncommon,1,108161,1326c5db-4615-495f-8e30-376243d91352,0.47,false,false,near_mint,en,AUD,2026-09-05T12:13:13.037Z
Solstice Revelations,TLA,Avatar: The Last Airbender,153,foil,uncommon,1,109580,f22ac19f-66fb-4d54-9f09-495a20a29577,0.35,false,false,near_mint,en,AUD,2026-09-05T12:13:13.038Z
Southern Air Temple,TLA,Avatar: The Last Airbender,36,foil,uncommon,1,108118,5c172f9b-2184-4736-9f90-74ce08596292,0.46,false,false,near_mint,en,AUD,2026-09-05T12:13:13.039Z
Sparring Dummy,TLA,Avatar: The Last Airbender,197,foil,uncommon,1,109435,520f5a03-ff5a-43ed-8f15-cf24596d60cd,0.33,false,false,near_mint,en,AUD,2026-09-05T12:13:13.040Z
Sun Warriors,TLA,Avatar: The Last Airbender,244,foil,uncommon,1,109567,e477d750-42d2-48c8-bc1f-8148d15d5f53,0.43,false,false,near_mint,en,AUD,2026-09-05T12:13:13.043Z
Sun-Blessed Peak,TLA,Avatar: The Last Airbender,280,foil,common,1,109515,ae04c862-095f-41d2-8aef-21036d5a0cdc,0.33,false,false,near_mint,en,AUD,2026-09-05T12:13:13.044Z
The Spirit Oasis,TLA,Avatar: The Last Airbender,72,foil,uncommon,1,109414,3a1b1329-531c-47ed-9802-c505501f8fd9,0.51,false,false,near_mint,en,AUD,2026-09-05T12:13:13.045Z
Thriving Isle,TLE,Avatar: The Last Airbender Eternal,263,foil,common,1,108247,94f93e5f-dba0-4079-8e6a-dd5d6fe6afa4,0.43,false,false,near_mint,en,AUD,2026-09-05T12:13:13.046Z
Thriving Moor,TLE,Avatar: The Last Airbender Eternal,264,foil,common,4,108210,528531e8-4574-4dd5-aa4e-d31ce0f4eb5c,0.58,false,false,near_mint,en,AUD,2026-09-05T12:13:13.047Z
Toucan-Puffin,TLE,Avatar: The Last Airbender Eternal,88,foil,common,1,109636,10dc44c7-634f-4210-9c22-ce9e8860568b,0.36,false,false,near_mint,en,AUD,2026-09-05T12:13:13.048Z
Tolls of War,TLA,Avatar: The Last Airbender,245,foil,uncommon,1,109556,d822b9ad-a787-4355-88c2-07ae2bd3a78e,0.37,false,false,near_mint,en,AUD,2026-09-05T12:13:13.049Z
Trusty Boomerang,TLA,Avatar: The Last Airbender,260,foil,uncommon,3,109564,df99a166-6d58-4d92-9037-2fdfbaf65629,0.35,false,false,near_mint,en,AUD,2026-09-05T12:13:13.052Z
Tundra Wall,TLE,Avatar: The Last Airbender Eternal,220,foil,common,1,108201,49ae7f36-4b37-415e-ab39-5fa1e3f2e3e9,0.4,false,false,near_mint,en,AUD,2026-09-05T12:13:13.053Z
Tundra Tank,TLA,Avatar: The Last Airbender,121,foil,uncommon,1,109384,13c66fce-8f8e-4a98-8413-9f05aebf6e13,0.35,false,false,near_mint,en,AUD,2026-09-05T12:13:13.054Z
Turtle-Duck,TLA,Avatar: The Last Airbender,200,foil,common,1,108264,aefcd734-3916-4c77-9d98-3ea2c2795658,0.4,false,false,near_mint,en,AUD,2026-09-05T12:13:13.055Z
Twin Blades,TLA,Avatar: The Last Airbender,157,foil,uncommon,1,109560,dc399ae0-36b5-4c92-9fe2-138caf8d7a86,0.42,false,false,near_mint,en,AUD,2026-09-05T12:13:13.058Z
"Ty Lee, Chi Blocker",TLA,Avatar: The Last Airbender,371,foil,rare,1,109429,4d2e5f2b-993a-48b1-834e-a4fe18e119ae,2.91,false,false,near_mint,en,AUD,2026-09-05T12:13:13.059Z
Uncle Iroh,TLA,Avatar: The Last Airbender,248,foil,uncommon,1,109443,5c88672c-0eba-4e93-a0ec-30bbb1bb7661,0.42,false,false,near_mint,en,AUD,2026-09-05T12:13:13.062Z
Sokka's Sword Training,TLE,Avatar: The Last Airbender Eternal,84,foil,common,3,109675,3489930a-208d-4bb2-b200-58a0dd4f6e81,0.4,false,false,near_mint,en,AUD,2026-09-05T12:13:13.034Z
Stand United,TLE,Avatar: The Last Airbender Eternal,149,foil,common,2,109813,def589e7-f84a-4a13-a65a-130a687bc124,0.39,false,false,near_mint,en,AUD,2026-09-05T12:13:13.041Z
Treetop Freedom Fighters,TLA,Avatar: The Last Airbender,156,foil,common,2,109507,a9394200-7ffc-440f-8b5f-c08b7930133c,0.25,false,false,near_mint,en,AUD,2026-09-05T12:13:13.050Z
Turtle-Seals,TLE,Avatar: The Last Airbender Eternal,226,foil,common,2,108188,3a144e7f-e0f7-4346-a4e8-f4a358c3b4a9,0.3,false,false,near_mint,en,AUD,2026-09-05T12:13:13.056Z
"Ty Lee, Artful Acrobat",TLA,Avatar: The Last Airbender,158,foil,uncommon,2,109561,dcd9df24-272b-4aa1-b05f-6ee6b3d3dfe7,0.42,false,false,near_mint,en,AUD,2026-09-05T12:13:13.060Z
Valorous Stance,TLE,Avatar: The Last Airbender Eternal,154,foil,uncommon,1,109747,95d376eb-39e5-4215-97fc-6a1a86e453d4,0.6,false,false,near_mint,en,AUD,2026-09-05T12:13:50.586Z
Unlucky Cabbage Merchant,TLA,Avatar: The Last Airbender,201,foil,uncommon,1,109374,0a838009-b115-4497-b35d-682e41ead7db,0.46,false,false,near_mint,en,AUD,2026-09-05T12:17:33.357Z
Vengeful Villagers,TLA,Avatar: The Last Airbender,40,foil,uncommon,1,109743,8cabb6ed-5c80-4dab-b96c-9d4d9fe72db7,0.29,false,false,near_mint,en,AUD,2026-09-05T12:17:33.358Z
Vindictive Warden,TLA,Avatar: The Last Airbender,249,foil,common,3,108159,0f34de05-39a9-425f-a3b4-3a9d46c917ac,0.26,false,false,near_mint,en,AUD,2026-09-05T12:17:33.359Z
Waterbending Scroll,TLA,Avatar: The Last Airbender,81,foil,uncommon,1,109917,50d0be73-a2c8-44a0-9178-9949f342f6f9,0.47,false,false,near_mint,en,AUD,2026-09-05T12:17:33.364Z
Watery Grasp,TLA,Avatar: The Last Airbender,82,foil,common,1,108177,26bcff57-428e-4f30-a153-a778fbfc437d,0.28,false,false,near_mint,en,AUD,2026-09-05T12:17:33.365Z
White Lotus Hideout,TLA,Avatar: The Last Airbender,281,foil,uncommon,1,109399,24d1e22c-0d99-4ed5-94f0-fd055fd8e2be,0.47,false,false,near_mint,en,AUD,2026-09-05T12:17:33.366Z
Wolfbat,TLA,Avatar: The Last Airbender,122,foil,uncommon,1,109666,2ae83b4e-e5a4-4c98-8d16-eef3c71b8ff2,0.32,false,false,near_mint,en,AUD,2026-09-05T12:17:33.369Z
